Pregunta;Modelo;Dimensión evaluada;Tipo de respuesta;ID HTML;ID BD;Tag Procesamiento;alta_baja
“Tomo decisiones difíciles con rapidez cuando la situación lo requiere.“;DISC;Dominancia;Selección forzada;pregunta_1;1;disc_d;
“Me siento capaz de liderar incluso en momentos de caos.“;DISC;Dominancia;Selección forzada;pregunta_2;2;disc_d;
“Me motiva enfrentar grandes retos y superarlos.“;DISC;Dominancia;Selección forzada;pregunta_3;3;disc_d;
“Me gusta que las cosas avancen con rapidez y eficiencia.“;DISC;Dominancia;Selección forzada;pregunta_4;4;disc_d;
“Me siento cómodo asumiendo el control en situaciones críticas.“;DISC;Dominancia;Selección forzada;pregunta_5;5;disc_d;
“Me gusta resolver conflictos con firmeza y enfoque.“;DISC;Dominancia;Selección forzada;pregunta_6;6;disc_d;
“Soy directo al comunicar mis ideas, con claridad y seguridad.“;DISC;Dominancia;Selección forzada;pregunta_7;7;disc_d;
“Disfruto tener la responsabilidad de liderar decisiones importantes.“;DISC;Dominancia;Selección forzada;pregunta_8;8;disc_d;
“Me gusta animar a otros cuando presento nuevas ideas.“;DISC;Influencia;Selección forzada;pregunta_9;9;disc_i;
“Me esfuerzo por mantener un ambiente optimista en el equipo.“;DISC;Influencia;Selección forzada;pregunta_10;10;disc_i;
“Me gusta persuadir a otros para que se sumen a mis propuestas.“;DISC;Influencia;Selección forzada;pregunta_11;11;disc_i;
“Suelo generar confianza rápidamente en quienes me rodean.“;DISC;Influencia;Selección forzada;pregunta_12;12;disc_i;
“Me llena de energía interactuar con otras personas.“;DISC;Influencia;Selección forzada;pregunta_13;13;disc_i;
“Disfruto conversar y compartir mis ideas abiertamente.“;DISC;Influencia;Selección forzada;pregunta_14;14;disc_i;
“Encuentro fácilmente puntos en común con personas nuevas.“;DISC;Influencia;Selección forzada;pregunta_15;15;disc_i;
“Me entusiasma influir positivamente en el estado de ánimo del equipo.“;DISC;Influencia;Selección forzada;pregunta_16;16;disc_i;
“Mantengo la calma incluso bajo mucha presión.“;DISC;Estabilidad;Selección forzada;pregunta_17;17;disc_s;
“Prefiero ambientes laborales donde todo esté planificado.“;DISC;Estabilidad;Selección forzada;pregunta_18;18;disc_s;
“Evito discusiones para mantener la armonía del grupo.“;DISC;Estabilidad;Selección forzada;pregunta_19;19;disc_s;
“Me adapto fácilmente a los cambios cuando hay estabilidad.“;DISC;Estabilidad;Selección forzada;pregunta_20;20;disc_s;
“Me incomoda cambiar de planes constantemente.“;DISC;Estabilidad;Selección forzada;pregunta_21;21;disc_s;
“Prefiero seguir rutinas y métodos ya establecidos.“;DISC;Estabilidad;Selección forzada;pregunta_22;22;disc_s;
“Me esfuerzo por mantener relaciones estables y duraderas.“;DISC;Estabilidad;Selección forzada;pregunta_23;23;disc_s;
“Me siento cómodo en entornos tranquilos y predecibles.“;DISC;Estabilidad;Selección forzada;pregunta_24;24;disc_s;
“Me apego a las reglas, incluso cuando nadie supervisa.“;DISC;Cumplimiento;Selección forzada;pregunta_25;25;disc_c;
“Reviso mi trabajo cuidadosamente para asegurar su calidad.“;DISC;Cumplimiento;Selección forzada;pregunta_26;26;disc_c;
“Me siento incómodo cuando los procesos no están bien definidos.“;DISC;Cumplimiento;Selección forzada;pregunta_27;27;disc_c;
“Me gusta seguir instrucciones claras paso a paso.“;DISC;Cumplimiento;Selección forzada;pregunta_28;28;disc_c;
“Prefiero tener claridad total antes de comenzar cualquier tarea.“;DISC;Cumplimiento;Selección forzada;pregunta_29;29;disc_c;
“Me esfuerzo por mantener altos estándares en todo lo que hago.“;DISC;Cumplimiento;Selección forzada;pregunta_30;30;disc_c;
“Me resulta importante actuar con precisión y lógica.“;DISC;Cumplimiento;Selección forzada;pregunta_31;31;disc_c;
“Me enfoco en hacer las cosas bien, más allá de la velocidad.“;DISC;Cumplimiento;Selección forzada;pregunta_32;32;disc_c;
"""Me siento lleno de energía después de pasar tiempo con otras personas.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_33;33;mbti_e;
"""Disfruto ser el centro de atención en reuniones o eventos.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_34;34;mbti_e;
"""Me es fácil iniciar conversaciones con personas que no conozco.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_35;35;mbti_e;
"""Me gusta compartir mis ideas en voz alta mientras las desarrollo.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_36;36;mbti_e;
"""Prefiero espacios laborales donde haya mucho movimiento y gente.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_37;37;mbti_e;
"""Me siento cómodo hablando en público sin mucha preparación.""";MBTI;Extroversión vs. Introversión;Likert;pregunta_38;38;mbti_e;
